name,time,tweet
Tiger_Nemir,Fri Sep 07 16:20:57 +0000 2018,Why yall do Tayson like dat #JustDoIt #nike #photooftheday #internewins #Mike_Tyson #Tyson https://t.co/dWopqtjitM
LordRawthschild,Fri Sep 07 16:20:43 +0000 2018,"#MissAmerica #FlashbackFriday #JobsReport Nike #GOT7 #JustDoIt FEMA #campaigns #TV3GH
SpiderMan #KaepernickNikeAd #slaveryremembranceday #MudaSuksesMenang 
#FridayFeeling #NationalBeerLoversDay I Love It
#eminemvsmgk #Nas vs #Kelis Kanye #INDRAKETUJUHEPS38
https://t.co/sVDCOXDBJP"
tori_sipe,Fri Sep 07 16:20:28 +0000 2018,@Nike is the only shoe I'll train in. I'm wearing the Nike Bruins from Back to the Future for my wedding. Hell yeah Nike. #JustDoIt
Bedhead_,Fri Sep 07 16:20:15 +0000 2018,"The @elonmusk Mindset

#JustDoIt https://t.co/2wq93hJjxy"
Esoundofsilence,Fri Sep 07 16:20:08 +0000 2018,"@tgirlmiller @realDonaldTrump Donating my #Nike  all in great coditions, many barely worn to homeless veterans and buying new ones for my self.
#JustDoIt https://t.co/EVH7Frnlwm"
wendbrok,Fri Sep 07 16:20:01 +0000 2018,@nerdygirl007 @1DentalHyGenius @IntelisexXx @NuttyTrump @CokerRory @benFranklin2018 Yes!!! Do it!! #JustDoIt
pammcnary_,Fri Sep 07 16:19:57 +0000 2018,@realDonaldTrump It’s clear why you &amp; Kim “respect” each other so much...#DonaldLovesDictators  #TakeAKnee #ColinKaepernick #Nike #JustDoIt #FightFascism https://t.co/ZYjB3DcSxI
CafecitoEnergy,Fri Sep 07 16:19:49 +0000 2018,Just do it. #nike #meme #justdoit #justtryit #cafecitoenergy #energy https://t.co/b67YtvoraG
_classified_0,Fri Sep 07 16:19:31 +0000 2018,"#JustDoIt … another potential spokesperson for #Nike
Former Cowboys RB Joseph Randle arrested, charged with rape https://t.co/XmW482KIUb"
KeepinUpWithCDJ,Fri Sep 07 16:19:21 +0000 2018,"Just left the @Nike store #greatlakescrossing  I don't even like Nike like that... BUT it's for the culture. Yall take care of Rena and Kap..I'll support you.

#Fortheculture
#Nike
#Justdoit
#bringit https://t.co/Ns6snxuann"
DarciBecker,Fri Sep 07 16:18:54 +0000 2018,#BOOM #MannCup2018 READY!! 7 hours @satolax22 #justDOIT!! #WestCoastBestCoast @CurtisDickson17 #FLYYYY! https://t.co/FRul00IsBq
_RRmR_,Fri Sep 07 16:18:35 +0000 2018,"#Lebron16: Look at those eyes...

#LeBron #Nike #JustDoIt https://t.co/WNvn4qzhQt"
BarefootAlchmst,Fri Sep 07 16:18:29 +0000 2018,So with the Sun and new moon in Virgo this Sunday- I’m commencing an exercise regimen to compliment my dietary regimen. #goals #JustDoIt https://t.co/uJrYrrSdTl
carreramae,Fri Sep 07 16:18:24 +0000 2018,Mr #IQ45 alone with #MitchMcConnell @SenateMajLdr #GOP meeting to see how they can destroy #presObama @Niki #Kaepernick #JustDoIt
notsopoetic1,Fri Sep 07 16:18:14 +0000 2018,"@Nike world is yours - the world is flat,  Kyrie ,LeBron and I have your back. Do I have your back? I’ve known you since grade school. I can’t believe this even rhymes I’m a fool .   @KingJames #LeBron #lebronjames #nike #kyrie #kapernick #justdoit #sneaker"
Jrlvr88,Fri Sep 07 16:18:11 +0000 2018,@realDonaldTrump I got new @Nike running shoes this week. #JustDoIt #JustDoIt #StandForSomething #TakeTheKnee
woman16_wonder,Fri Sep 07 16:17:51 +0000 2018,"Pure Gold!
From Larry Elder
(Overheard, II)

I returned a pair of Nike shoes yesterday for a refund, and the clerk asked me what was wrong with them. I told her they hurt my feet when I stood up for the national anthem.

#JustDoIt #ISTANDFORAMERICA"
rickyhulk,Fri Sep 07 16:17:50 +0000 2018,"If you work hard, limitless and focus on your goals and respecting each other... the only thing you will have, is the success.
#JustDoIt https://t.co/ARRxcgQim9"
